epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.97126,1.70764,0.24737,0.90526,1.84717,0.08911,0.00011,0.00011
2,2.47109,1.34963,0.31579,0.90526,1.72266,0.0772285,0.000228482,0.000228482
3,2.85436,1.18876,0.47368,0.91053,1.35303,0.0653454,0.00034538,0.00034538
4,3.24805,1.05264,0.52632,0.93684,1.19971,0.0534607,0.000460694,0.000460694
5,3.67814,1.04351,0.48421,0.92632,1.44922,0.0415744,0.000574424,0.000574424
6,4.10637,0.97585,0.72632,1,0.82568,0.0296866,0.00068657,0.00068657
7,4.4952,0.93076,0.68421,0.98947,0.93823,0.0177971,0.000797132,0.000797132
8,4.88483,0.94244,0.65789,1,0.89502,0.00590611,0.00090611,0.00090611
9,5.27121,0.91719,0.70526,0.99474,0.79248,0.0009472,0.0009472,0.0009472
10,5.65063,0.83459,0.67368,0.98947,0.88037,0.0009406,0.0009406,0.0009406
11,6.13177,0.89198,0.60526,0.99474,1.01807,0.000934,0.000934,0.000934
12,6.51512,0.82981,0.78421,0.99474,0.73071,0.0009274,0.0009274,0.0009274
13,6.90815,0.79848,0.73158,0.99474,0.7605,0.0009208,0.0009208,0.0009208
14,7.31126,0.78453,0.69474,0.99474,0.89673,0.0009142,0.0009142,0.0009142
15,7.72733,0.79322,0.73158,0.99474,0.74414,0.0009076,0.0009076,0.0009076
16,8.11133,0.7027,0.77368,1,0.63965,0.000901,0.000901,0.000901
17,8.49666,0.76101,0.75789,0.99474,0.67896,0.0008944,0.0008944,0.0008944
18,8.87786,0.76514,0.75263,0.99474,0.75537,0.0008878,0.0008878,0.0008878
19,9.25976,0.69436,0.78947,0.99474,0.65381,0.0008812,0.0008812,0.0008812
20,9.65038,0.71393,0.78421,1,0.73413,0.0008746,0.0008746,0.0008746
21,10.0562,0.68948,0.8,0.99474,0.6394,0.000868,0.000868,0.000868
22,10.4437,0.6768,0.81579,1,0.61401,0.0008614,0.0008614,0.0008614
23,10.8241,0.7476,0.76316,1,0.70972,0.0008548,0.0008548,0.0008548
24,11.2171,0.75067,0.76316,0.99474,0.6897,0.0008482,0.0008482,0.0008482
25,11.6214,0.72615,0.76842,0.99474,0.66382,0.0008416,0.0008416,0.0008416
26,12.0061,0.65801,0.78421,1,0.70288,0.000835,0.000835,0.000835
27,12.4211,0.66882,0.82105,1,0.62378,0.0008284,0.0008284,0.0008284
28,12.8052,0.64954,0.82105,0.99474,0.67249,0.0008218,0.0008218,0.0008218
29,13.1892,0.73092,0.78947,0.99474,0.69653,0.0008152,0.0008152,0.0008152
30,13.5767,0.67502,0.79474,1,0.60938,0.0008086,0.0008086,0.0008086
31,13.9624,0.70038,0.77895,0.99474,0.66797,0.000802,0.000802,0.000802
32,14.3445,0.72226,0.81053,0.99474,0.5415,0.0007954,0.0007954,0.0007954
33,14.736,0.70009,0.8,0.99474,0.70972,0.0007888,0.0007888,0.0007888
34,15.124,0.60842,0.71579,0.98421,0.81665,0.0007822,0.0007822,0.0007822
35,15.5123,0.63507,0.81579,0.98947,0.61768,0.0007756,0.0007756,0.0007756
36,15.8922,0.66334,0.80526,0.99474,0.53516,0.000769,0.000769,0.000769
37,16.2836,0.65554,0.81053,0.99474,0.59644,0.0007624,0.0007624,0.0007624
38,16.665,0.66906,0.82632,0.99474,0.66016,0.0007558,0.0007558,0.0007558
39,17.0624,0.61453,0.82632,0.99474,0.59106,0.0007492,0.0007492,0.0007492
40,17.5435,0.60114,0.82105,0.99474,0.58228,0.0007426,0.0007426,0.0007426
41,17.9355,0.57985,0.81579,0.99474,0.57324,0.000736,0.000736,0.000736
42,18.3219,0.59687,0.81053,0.99474,0.72119,0.0007294,0.0007294,0.0007294
43,18.73,0.61992,0.82105,0.99474,0.52649,0.0007228,0.0007228,0.0007228
44,19.1266,0.55514,0.78947,1,0.6145,0.0007162,0.0007162,0.0007162
45,19.5077,0.65148,0.8,0.98947,0.57788,0.0007096,0.0007096,0.0007096
46,19.9412,0.62372,0.79474,1,0.60474,0.000703,0.000703,0.000703
47,20.3334,0.59488,0.81053,0.98947,0.63818,0.0006964,0.0006964,0.0006964
48,20.7171,0.62553,0.80526,0.98947,0.66309,0.0006898,0.0006898,0.0006898
49,21.1014,0.58243,0.81053,0.98947,0.59961,0.0006832,0.0006832,0.0006832
