epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.79392,1.4472,0.20101,0.9598,2.29395,0.08812,0.00012,0.00012
2,4.95068,0.80248,0.66332,0.99497,0.84692,0.0752484,0.00024835,0.00024835
3,6.06565,0.59019,0.70854,1,0.77124,0.062375,0.000374984,0.000374984
4,7.19968,0.4422,0.83417,1,0.48132,0.0494999,0.000499902,0.000499902
5,8.36744,0.43472,0.8191,1,0.64648,0.0366231,0.000623104,0.000623104
6,9.54658,0.40054,0.82412,1,0.64478,0.0237446,0.00074459,0.00074459
7,11.0654,0.40226,0.89447,1,0.29541,0.0108644,0.00086436,0.00086436
8,12.3826,0.29378,0.82412,0.99497,0.68054,0.0009538,0.0009538,0.0009538
9,13.5884,0.33631,0.84925,1,0.4707,0.0009472,0.0009472,0.0009472
10,14.9669,0.37793,0.84422,1,0.45459,0.0009406,0.0009406,0.0009406
11,16.1672,0.31179,0.86935,1,0.34253,0.000934,0.000934,0.000934
12,17.3972,0.30067,0.84422,1,0.41785,0.0009274,0.0009274,0.0009274
13,18.583,0.34648,0.84925,1,0.43103,0.0009208,0.0009208,0.0009208
14,20.023,0.25453,0.8593,1,0.49976,0.0009142,0.0009142,0.0009142
15,21.5032,0.2207,0.8593,1,0.42346,0.0009076,0.0009076,0.0009076
16,22.937,0.30969,0.8794,1,0.37073,0.000901,0.000901,0.000901
17,24.3136,0.26611,0.87437,1,0.5592,0.0008944,0.0008944,0.0008944
18,25.4769,0.24956,0.84925,1,0.47607,0.0008878,0.0008878,0.0008878
19,26.6523,0.21595,0.87437,1,0.48181,0.0008812,0.0008812,0.0008812
20,28.0157,0.23339,0.8593,1,0.64478,0.0008746,0.0008746,0.0008746
21,29.5865,0.18367,0.86935,1,0.69507,0.000868,0.000868,0.000868
22,30.6871,0.19565,0.86432,1,0.51929,0.0008614,0.0008614,0.0008614
23,32.2683,0.19616,0.8593,1,0.5354,0.0008548,0.0008548,0.0008548
24,33.4437,0.20558,0.86432,1,0.55261,0.0008482,0.0008482,0.0008482
25,34.4647,0.22951,0.8794,1,0.45752,0.0008416,0.0008416,0.0008416
26,35.887,0.21939,0.88442,1,0.39856,0.000835,0.000835,0.000835
27,37.0894,0.20593,0.86432,1,0.40723,0.0008284,0.0008284,0.0008284
28,38.5561,0.19031,0.87437,1,0.40002,0.0008218,0.0008218,0.0008218
29,40.127,0.18452,0.87437,1,0.43127,0.0008152,0.0008152,0.0008152
30,41.0738,0.20526,0.8794,1,0.37634,0.0008086,0.0008086,0.0008086
31,42.6094,0.16389,0.85427,1,0.57373,0.000802,0.000802,0.000802
32,43.6415,0.16154,0.88442,1,0.52173,0.0007954,0.0007954,0.0007954
33,45.1354,0.18509,0.84925,1,0.76099,0.0007888,0.0007888,0.0007888
34,46.205,0.15419,0.8794,1,0.49817,0.0007822,0.0007822,0.0007822
35,47.9173,0.17175,0.8593,1,0.51465,0.0007756,0.0007756,0.0007756
36,48.952,0.16723,0.8593,1,0.58777,0.000769,0.000769,0.000769
37,50.6656,0.17497,0.8794,1,0.49792,0.0007624,0.0007624,0.0007624
