epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.41928,1.2542,0.46087,1,1.48389,0.09307,7e-05,7e-05
2,2.98966,0.97283,0.38841,1,2.3584,0.085149,0.00014901,0.00014901
3,3.40674,0.93592,0.51594,1,1.44873,0.077227,0.000226964,0.000226964
4,3.90343,0.8413,0.54783,1,1.13232,0.0693039,0.000303862,0.000303862
5,4.49735,0.84775,0.69565,1,0.78198,0.0613797,0.000379704,0.000379704
6,4.95884,0.73111,0.70145,1,0.79272,0.0534545,0.00045449,0.00045449
7,5.47672,0.71012,0.72464,1,0.823,0.0455282,0.00052822,0.00052822
8,5.93687,0.70968,0.8,1,0.65723,0.0376009,0.000600894,0.000600894
9,6.46026,0.78697,0.78841,1,0.61084,0.0296725,0.000672512,0.000672512
10,7.06579,0.75706,0.77391,1,0.58667,0.0217431,0.000743074,0.000743074
11,7.47299,0.62427,0.71884,1,0.70435,0.0138126,0.00081258,0.00081258
12,7.90621,0.68443,0.71014,1,0.74585,0.00588103,0.00088103,0.00088103
13,8.34077,0.66047,0.74783,1,0.65674,0.0009208,0.0009208,0.0009208
14,8.74538,0.67761,0.82899,1,0.4917,0.0009142,0.0009142,0.0009142
15,9.19841,0.60296,0.81739,1,0.46545,0.0009076,0.0009076,0.0009076
16,9.62944,0.74159,0.83478,1,0.46411,0.000901,0.000901,0.000901
17,10.0775,0.65165,0.85507,1,0.4248,0.0008944,0.0008944,0.0008944
18,10.4871,0.60467,0.83188,1,0.43408,0.0008878,0.0008878,0.0008878
19,10.9047,0.62361,0.84928,1,0.48254,0.0008812,0.0008812,0.0008812
20,11.3698,0.72534,0.82319,1,0.54199,0.0008746,0.0008746,0.0008746
21,11.7985,0.69057,0.84348,1,0.41089,0.000868,0.000868,0.000868
22,12.2057,0.63311,0.8,1,0.573,0.0008614,0.0008614,0.0008614
23,12.6289,0.61891,0.84638,1,0.45654,0.0008548,0.0008548,0.0008548
24,13.0471,0.60217,0.82609,1,0.47034,0.0008482,0.0008482,0.0008482
25,13.4668,0.63169,0.83188,1,0.46851,0.0008416,0.0008416,0.0008416
26,13.879,0.70936,0.84058,1,0.41309,0.000835,0.000835,0.000835
27,14.3032,0.60611,0.87246,1,0.37512,0.0008284,0.0008284,0.0008284
28,14.7238,0.61045,0.7942,1,0.59937,0.0008218,0.0008218,0.0008218
29,15.1519,0.7647,0.83478,1,0.4021,0.0008152,0.0008152,0.0008152
30,15.599,0.78218,0.85797,1,0.47803,0.0008086,0.0008086,0.0008086
31,16.0078,0.62569,0.7942,1,0.53687,0.000802,0.000802,0.000802
32,16.43,0.64252,0.85217,1,0.45227,0.0007954,0.0007954,0.0007954
33,16.8499,0.61345,0.84638,1,0.40881,0.0007888,0.0007888,0.0007888
34,17.2723,0.67345,0.86667,1,0.40356,0.0007822,0.0007822,0.0007822
35,17.7065,0.63576,0.87536,1,0.38586,0.0007756,0.0007756,0.0007756
36,18.155,0.58302,0.86667,1,0.3905,0.000769,0.000769,0.000769
37,18.5642,0.55261,0.81739,1,0.49438,0.0007624,0.0007624,0.0007624
38,18.9661,0.61873,0.87536,1,0.4104,0.0007558,0.0007558,0.0007558
39,19.4296,0.54877,0.85507,1,0.47925,0.0007492,0.0007492,0.0007492
40,19.8553,0.58156,0.84058,1,0.43396,0.0007426,0.0007426,0.0007426
41,20.4006,0.57777,0.86377,1,0.42163,0.000736,0.000736,0.000736
42,20.8205,0.5841,0.85797,1,0.38098,0.0007294,0.0007294,0.0007294
43,21.2904,0.58862,0.86087,1,0.35083,0.0007228,0.0007228,0.0007228
44,21.7812,0.58807,0.86957,1,0.40918,0.0007162,0.0007162,0.0007162
45,22.2499,0.44777,0.85217,1,0.40588,0.0007096,0.0007096,0.0007096
46,22.6834,0.55498,0.85797,1,0.3689,0.000703,0.000703,0.000703
47,23.1049,0.50806,0.85507,1,0.42822,0.0006964,0.0006964,0.0006964
48,23.5368,0.5827,0.85217,1,0.4137,0.0006898,0.0006898,0.0006898
49,23.9415,0.50865,0.85217,1,0.40979,0.0006832,0.0006832,0.0006832
50,24.3561,0.52573,0.84928,1,0.3811,0.0006766,0.0006766,0.0006766
51,24.7768,0.63502,0.86377,1,0.4043,0.00067,0.00067,0.00067
52,25.1927,0.57748,0.86377,1,0.35425,0.0006634,0.0006634,0.0006634
53,25.62,0.54006,0.87246,1,0.38391,0.0006568,0.0006568,0.0006568
54,26.0496,0.51806,0.86377,1,0.30566,0.0006502,0.0006502,0.0006502
55,26.4699,0.55744,0.84058,1,0.44409,0.0006436,0.0006436,0.0006436
56,26.893,0.60152,0.86957,1,0.38403,0.000637,0.000637,0.000637
57,27.3258,0.64329,0.82899,1,0.53662,0.0006304,0.0006304,0.0006304
58,27.755,0.52183,0.87246,1,0.40356,0.0006238,0.0006238,0.0006238
59,28.1867,0.58026,0.85217,1,0.39392,0.0006172,0.0006172,0.0006172
60,28.5957,0.59244,0.85797,1,0.43018,0.0006106,0.0006106,0.0006106
61,29.0203,0.44714,0.81449,1,0.54272,0.000604,0.000604,0.000604
62,29.438,0.47192,0.84638,1,0.46472,0.0005974,0.0005974,0.0005974
63,29.8591,0.63285,0.87246,1,0.40137,0.0005908,0.0005908,0.0005908
64,30.2742,0.49078,0.86377,1,0.36304,0.0005842,0.0005842,0.0005842
65,30.7013,0.53706,0.85797,1,0.40393,0.0005776,0.0005776,0.0005776
